R1, R2, C1, C2
BB, FE, 4, 28
90, FE, 4, 29
CE, C8, 4, 2A
92, 97, 4, 2B
D8, 2, 4, 2C
8C, 41, 4, 2D
22, D4, 4, 2E
8A, 79, 4, 2F
1C, C6, 4, 30
AB, C3, 4, 31
9E, FA, 4, 32
BB, 51, 4, 33
97, CB, 4, 34
F0, C3, 4, 35
92, A0, 4, 36
D9, BD, 4, 37
86, CC, 4, 38
7E, DF, 4, 39
8A, 38, 4, 3A
1D, B1, 4, 3B
A6, D6, 4, 3C
9E, EE, 4, 3D
BB, 24, 4, 3E
95, 14, 4, 3F
1A, DE, 4, 40
92, 55, 4, 41
DE, F8, 4, 42
BB, 5B, 4, 43
8A, CB, 4, 44
8B, CF, 4, 45
12, 1C, 4, 46
DD, D9, 4, 47
9E, 96, 4, 48
B8, 97, 4, 49
88, 61, 4, 4A
C, E9, 4, 4B
92, 7A, 4, 4C
DE, 33, 4, 4D
BD, E6, 4, 4E
A6, F4, 4, 4F
8B, A6, 4, 50
10, C7, 4, 51
C8, EC, 4, 52
9E, BA, 4, 53
B8, 4A, 4, 54
8F, AA, 4, 55
36, E4, 4, 56
92, 43, 4, 57
DF, 6E, 4, 58
B6, 6D, 4, 59
F2, E1, 4, 5A
8B, 9D, 4, 5B
11, 72, 4, 5C
C7, F7, 4, 5D
9E, AA, 4, 5E
B8, D, 4, 5F
82, F7, 4, 60
20, 0, 4, 61
92, 3C, 4, 62
DC, C9, 4, 63
A8, F8, 4, 64
E, EA, 4, 65
8B, 64, 4, 66
16, 1D, 4, 67
F2, FA, 4, 68
9E, 96, 4, 69
B9, 50, 4, 6A
80, C0, 4, 6B
42, A, 4, 6C
92, D9, 4, 6D
DC, E4, 4, 6E
AD, 87, 4, 6F
5A, 17, 4, 70
8B, C3, 4, 71
14, 48, 4, 72
E9, D, 4, 73
9E, 7E, 4, 74
B9, A3, 4, 75
87, 8D, 4, 76
74, 5, 4, 77
92, FE, 4, 78
DD, 9F, 4, 79
A7, 12, 4, 7A
76, 0, 4, 7B
8B, E2, 4, 7C
15, B3, 4, 7D
E4, 10, 4, 7E
9E, 6A, 4, 7F
BE, 16, 4, 80
BA, 56, 4, 81
9E, 11, 4, 82
93, 1F, 4, 83
D2, 5A, 4, 84
D8, 99, 4, 85
82, E, 4, 86
88, 1, 4, 87
B, 1E, 4, 88
13, 1B, 4, 89
9E, AA, 4, 8A
BE, 79, 4, 8B
B9, 23, 4, 8C
80, 2A, 4, 8D
93, 38, 4, 8E
